date,ticker,y_true,y_pred
2021-08-11,BBVA,5.905000,5.769582
2021-08-12,BBVA,5.889000,5.792292
2021-08-13,BBVA,5.861000,5.792352
2021-08-16,BBVA,5.816000,5.771460
2021-08-17,BBVA,5.673000,5.698281
2021-08-18,BBVA,5.795000,5.695585
2021-08-19,BBVA,5.589000,5.640036
2021-08-20,BBVA,5.554000,5.600507
2021-08-23,BBVA,5.583000,5.604243
2021-08-24,BBVA,5.500000,5.594316
2021-08-25,BBVA,5.707000,5.654120
2021-08-26,BBVA,5.613000,5.683253
2021-08-27,BBVA,5.580000,5.686472
2021-08-30,BBVA,5.535000,5.674670
2021-08-31,BBVA,5.547000,5.663314
2021-09-01,BBVA,5.637000,5.697018
2021-09-02,BBVA,5.609000,5.710471
2021-09-03,BBVA,5.568000,5.703891
2021-09-06,BBVA,5.564000,5.699997
2021-09-07,BBVA,5.593000,5.706796
2021-09-08,BBVA,5.520000,5.685991
2021-09-09,BBVA,5.512000,5.661964
2021-09-10,BBVA,5.500000,5.645637
2021-09-13,BBVA,5.597000,5.675883
2021-09-14,BBVA,5.580000,5.695963
2021-09-15,BBVA,5.602000,5.712811
2021-09-16,BBVA,5.724000,5.763781
2021-09-17,BBVA,5.672000,5.708905
2021-09-20,BBVA,5.248000,5.549187
2021-09-21,BBVA,5.281000,5.454234
2021-09-22,BBVA,5.418000,5.461014
2021-09-23,BBVA,5.570000,5.529807
2021-09-24,BBVA,5.661000,5.605558
2021-09-27,BBVA,5.780000,5.690725
2021-09-28,BBVA,5.687000,5.715875
2021-09-29,BBVA,5.742000,5.733670
2021-09-30,BBVA,5.717000,5.737141
2021-10-01,BBVA,5.633000,5.684602
2021-10-04,BBVA,5.634000,5.608351
2021-10-05,BBVA,6.000000,5.685493
2021-10-06,BBVA,5.945000,5.750426
2021-10-07,BBVA,6.040000,5.830074
2021-10-08,BBVA,5.930000,5.867477
2021-10-11,BBVA,5.914000,5.878455
2021-10-12,BBVA,5.904000,5.865752
2021-10-13,BBVA,5.690000,5.798094
2021-10-14,BBVA,5.637000,5.733952
