,MAE_train,MSE_train,R2_train,MAE_test,MSE_test,R2_test,n_train,n_test
BBVA,0.007899053718004274,0.0001281315220781575,0.9974359575347501,0.006691561786257767,9.505648305506819e-05,0.9975077512431227,5291.0,1323.0
SAN,0.008883690922780052,0.00016743461938449863,0.9965113974928962,0.005039197101454891,4.98158987742659e-05,0.9973101721658121,5291.0,1323.0
