Date,Close_BBVA,Close_SAN,Volume_BBVA,Volume_SAN,Open_BBVA,Open_SAN,High_BBVA,High_SAN,Low_BBVA,Low_SAN,AdjClose_BBVA,AdjClose_SAN,Dividends_BBVA,Dividends_SAN,StockSplits_BBVA,StockSplits_SAN,SMA5_BBVA,SMA5_SAN,SMA10_BBVA,SMA10_SAN,SMA20_BBVA,SMA20_SAN,EMA10_BBVA,EMA10_SAN,STD10_BBVA,STD10_SAN,RSI14_BBVA,RSI14_SAN,ATR14_BBVA,ATR14_SAN
2000-01-28,0.6281910977746947,0.6292530496427544,0.02682614784073183,0.013810398214628074,0.6429802682596271,0.6579549873466222,0.6342490597235766,0.6450284332891744,0.6137592041740753,0.6311354129485812,0.14363829522857616,0.14270589586458668,0.0,0.0,0.0,0.0,0.6058312132611595,0.6435050589753449,0.5951349605887225,0.6500770943518843,0.6220954628357547,0.6828591876131818,0.6096805148572083,0.6547269298604833,0.36087426953499446,0.16240192810306533,0.5805183156619733,0.2938419815986104,0.40273924782202375,0.39419450959535973
2000-01-31,0.6169752333839982,0.6292530496427544,0.016422618632122545,0.052406315598220794,0.6289685191710406,0.6324517065413888,0.6231151247697186,0.6287249864577867,0.6137592041740753,0.6251008587611627,0.13996567064386614,0.14437761097111504,0.0,0.047603,0.0,0.0,0.6162787984738745,0.6430497704984073,0.5974845052317302,0.64570114635245,0.619382395244884,0.6777827650893554,0.6124072992784129,0.6514090242062385,0.384923887534502,0.10743919602201327,0.5185967799008232,0.2938419815986104,0.4036935153374165,0.36830519711557064
2000-02-01,0.6270695169023359,0.638277296853681,0.01586073153327177,0.012271442330120064,0.6272870736742455,0.7224634997755339,0.6247851984347383,0.7087603192073445,0.619961643062532,0.6311354129485812,0.14327097332797184,0.14802481612914678,0.0,0.0,0.0,0.0,0.6257043178252725,0.644415652651782,0.6024127917469703,0.6463920872911446,0.6182738285292245,0.6742176440579633,0.6165221352798608,0.6503704868602171,0.4126346551580028,0.10626116673823463,0.5693791239050432,0.34480907970790287,0.40846390584459524,0.4537392151339674
2000-02-02,0.6248263551576179,0.638277296853681,0.012728306521869532,0.011249619924442124,0.6289685191710406,0.6459534920568126,0.6203316134011558,0.6339124579481998,0.6188338912833349,0.6326440722747225,0.1425364971840623,0.14802481612914678,0.0,0.0,0.0,0.0,0.6302467388269996,0.6418356623190533,0.6072264739591927,0.6470830282298392,0.6179529260375314,0.6716988053906311,0.6194701925750173,0.6495207744861995,0.41909626055155474,0.1044887026547173,0.5565673588552876,0.34480907970790287,0.3912903106047953,0.4485612575493554
2000-02-03,0.6309951612898062,0.6488055990770085,0.012924719628299367,0.012012177844163805,0.6267266103868578,0.6414528693345012,0.6309088571333406,0.6450284332891744,0.619961643062532,0.6364156790315023,0.14455643232278784,0.15228007106390404,0.0,0.0,0.0,0.0,0.6302467388269996,0.6409250853651783,0.612785132492475,0.6472365716005741,0.6179529260375314,0.6697224847698227,0.6230334836720312,0.6507810226933719,0.4176319450092958,0.10652040536619417,0.5881696936846337,0.4046813381685779,0.40655565493474544,0.444246229503076
2000-02-04,0.6197791855648958,0.6555738052010733,0.01750193132620634,0.014649650284005451,0.6396174329006692,0.6587051324594293,0.6309088571333406,0.6524391651729489,0.6222170906503185,0.6522564772802656,0.14088380773807785,0.15501548274315877,0.0,0.0,0.0,0.0,0.6285433408147851,0.6462368400046562,0.6186876266884315,0.6505377329233124,0.6168735317491507,0.6662348669264928,0.6238557389639849,0.6530692232615685,0.34088328816532537,0.10788552971234333,0.5223561803433447,0.44108016986570064,0.42182090455771704,0.4149051988699571
2000-02-07,0.6057592576590876,0.6796385196725305,0.013538244111428146,0.013142014998015528,0.6216823851657372,0.6654560252171413,0.6158780283675733,0.6672605472840398,0.6092483649691103,0.6643256687722491,0.1362929698512929,0.16474162352227215,0.0,0.0,0.0,0.0,0.626272124677674,0.6564050608066744,0.6228136432637109,0.6554510869499302,0.6157066230747474,0.6643748032227343,0.621912045214718,0.6594110315824818,0.23388316243261578,0.1678682940117696,0.4505714837362703,0.5522783423631266,0.4170505140505384,0.3907420307327959
2000-02-08,0.6337991134707037,0.6931749319206602,0.022823222937130058,0.012895095988248608,0.6054287272929681,0.681958225880773,0.6253418896564116,0.685787254508789,0.6019182862426723,0.6756404890425888,0.14547456941699954,0.17021241563785802,0.0,0.0,0.0,0.0,0.6276348566144397,0.6674838752851298,0.6282576861171649,0.6617463228539373,0.6167860173631282,0.6646848117050711,0.6255546464870486,0.6671139606424311,0.14802495002734029,0.22867848227211207,0.5884615792514857,0.6038352072022892,0.45425993883444526,0.4019607803516982
2000-02-09,0.6152927507412458,0.6781343817966503,0.015094441670512068,0.011508565049066069,0.6368151164637312,0.6999605514669978,0.6281254010249742,0.6865282868689372,0.6177061954747457,0.6711145941813114,0.13941479448396818,0.1641336674743171,0.0,0.0,0.0,0.0,0.6257043178252725,0.6755273775087948,0.6295757123953395,0.6645100781494919,0.6173402992730511,0.6646073042470957,0.6250812343502709,0.6706228102704941,0.11557547477633778,0.247615919347915,0.5021667005306385,0.5303576652103504,0.4714336287812233,0.40713864284765605
2000-02-10,0.6040768306834421,0.661589942387198,0.013987102769053692,0.009640017729634213,0.6087915626519258,0.6722069179748533,0.605857420596865,0.6657783192508265,0.6081206691605211,0.6560280840370455,0.1357420327251044,0.1574470882345149,0.0,0.0,0.0,0.0,0.6202534013507048,0.6781073678415233,0.6268250327823514,0.6653545624589214,0.6182446561019459,0.6640260367414973,0.6226007428397312,0.6704208164570137,0.1381764885702755,0.24889870888051335,0.456118485595442,0.4596703164211805,0.4638008145557805,0.39160515044843686
